game_id,move_number,sfen,prev_sfen,move_usi,player,black_player,white_player,best_move,score_cp,pv
sample,20,ln1g1g1nl/2ks1r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S4K2/LN1G1GSNL b BPb 21,lnsg1g1nl/2k2r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S4K2/LN1G1GSNL w BPb 20,7a6b,white,dimolt77,Nujabes_,8g8f,153,8g8f B*5d 7f6f 2c2d 8f8e 4b2b 6f8f 2d2e
sample,21,ln1g1g1nl/2ks1r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S3GK2/LN1G2SNL w BPb 22,ln1g1g1nl/2ks1r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S4K2/LN1G1GSNL b BPb 21,4i4h,black,dimolt77,Nujabes_,2c2d,-7,2c2d 8g8f B*5d 7f1f 4b2b 8f8e 3c4d 3i2h
sample,22,ln1g1g1nl/2ks1r3/ppp1ppspp/3p2p2/9/2R6/PP1PPPPPP/1S3GK2/LN1G2SNL b BPb 23,ln1g1g1nl/2ks1r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S3GK2/LN1G2SNL w BPb 22,6c6d,white,dimolt77,Nujabes_,8g8f,91,8g8f 4a5b 8f8e 5b6c 7f8f 2c2d 8h7g 7c7d
sample,23,ln1g1g1nl/2ks1r3/ppp1ppspp/3p2p2/9/2R6/PP1PPPPPP/1SG2GK2/LN4SNL w BPb 24,ln1g1g1nl/2ks1r3/ppp1ppspp/3p2p2/9/2R6/PP1PPPPPP/1S3GK2/LN1G2SNL b BPb 23,6i7h,black,dimolt77,Nujabes_,2c2d,31,2c2d 6g6f 2d2e 6f6e 6d6e 8g8f 7b7a 8h8g
sample,24,ln1g1g1nl/2k2r3/pppsppspp/3p2p2/9/2R6/PP1PPPPPP/1SG2GK2/LN4SNL b BPb 25,ln1g1g1nl/2ks1r3/ppp1ppspp/3p2p2/9/2R6/PP1PPPPPP/1SG2GK2/LN4SNL w BPb 24,6b6c,white,dimolt77,Nujabes_,6g6f,14,6g6f 3c4d 6f6e 6d6e 8g8f 4b2b 8f8e 2c2d
sample,25,ln1g1g1nl/2k2r3/pppsppspp/3p2p2/9/2R6/PPSPPPPPP/2G2GK2/LN4SNL w BPb 26,ln1g1g1nl/2k2r3/pppsppspp/3p2p2/9/2R6/PP1PPPPPP/1SG2GK2/LN4SNL b BPb 25,8h7g,black,dimolt77,Nujabes_,3c4d,0,3c4d 6g6f 6c7d 7f8f 7d7e B*3f B*5d 3f5d
sample,26,ln1g1g1nl/1k3r3/pppsppspp/3p2p2/9/2R6/PPSPPPPPP/2G2GK2/LN4SNL b BPb 27,ln1g1g1nl/2k2r3/pppsppspp/3p2p2/9/2R6/PPSPPPPPP/2G2GK2/LN4SNL w BPb 26,7b8b,white,dimolt77,Nujabes_,8g8f,34,8g8f B*5d 7f6f 3c4d 8f8e 4b2b 5g5f 2c2d
sample,27,ln1g1g1nl/1k3r3/pppsppspp/3p2p2/9/2RS5/PP1PPPPPP/2G2GK2/LN4SNL w BPb 28,ln1g1g1nl/1k3r3/pppsppspp/3p2p2/9/2R6/PPSPPPPPP/2G2GK2/LN4SNL b BPb 27,7g6f,black,dimolt77,Nujabes_,3c4d,0,3c4d 8i7g 4b2b 6f7e B*5d 7f6f 4d5e 6f8f
sample,28,ln3g1nl/1kg2r3/pppsppspp/3p2p2/9/2RS5/PP1PPPPPP/2G2GK2/LN4SNL b BPb 29,ln1g1g1nl/1k3r3/pppsppspp/3p2p2/9/2RS5/PP1PPPPPP/2G2GK2/LN4SNL w BPb 28,6a7b,white,dimolt77,Nujabes_,8i7g,101,8i7g 3c4d 6f7e B*5d 7f6f 4d5e 6f8f 5e4d
sample,29,ln3g1nl/1kg2r3/pppsppspp/3p2p2/9/1PRS5/P2PPPPPP/2G2GK2/LN4SNL w BPb 30,ln3g1nl/1kg2r3/pppsppspp/3p2p2/9/2RS5/PP1PPPPPP/2G2GK2/LN4SNL b BPb 29,8g8f,black,dimolt77,Nujabes_,2c2d,-96,2c2d 8f8e 2d2e 8i7g 3c4d 8e8d 8c8d 6f7e
sample,30,ln3g1nl/1kg2r3/1ppsppspp/p2p2p2/9/1PRS5/P2PPPPPP/2G2GK2/LN4SNL b BPb 31,ln3g1nl/1kg2r3/pppsppspp/3p2p2/9/1PRS5/P2PPPPPP/2G2GK2/LN4SNL w BPb 30,9c9d,white,dimolt77,Nujabes_,8f8e,212,8f8e 2c2d 6f7e 2d2e 8i7g 4b2b 7f6f 4a5b
sample,31,ln3g1nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P2PPPPPP/2G2GK2/LN4SNL w BPb 32,ln3g1nl/1kg2r3/1ppsppspp/p2p2p2/9/1PRS5/P2PPPPPP/2G2GK2/LN4SNL b BPb 31,8f8e,black,dimolt77,Nujabes_,2c2d,-234,2c2d 6f7e 2d2e 8e8d 8c8d 8i7g 4b2b 7f6f
sample,32,ln2g2nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P2PPPPPP/2G2GK2/LN4SNL b BPb 33,ln3g1nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P2PPPPPP/2G2GK2/LN4SNL w BPb 32,4a5a,white,dimolt77,Nujabes_,8i7g,250,6f7e 2c2d 8i7g B*5d 7f6f 2d2e 8e8d 8c8d
sample,33,ln2g2nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P1NPPPPPP/2G2GK2/L5SNL w BPb 34,ln2g2nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P2PPPPPP/2G2GK2/LN4SNL b BPb 33,8i7g,black,dimolt77,Nujabes_,2c2d,-260,2c2d 6f7e B*5d 7f6f 4b6b 8e8d 8c8d B*5f
sample,34,ln5nl/1kgg1r3/1ppsppspp/p2p2p2/1P7/2RS5/P1NPPPPPP/2G2GK2/L5SNL b BPb 35,ln2g2nl/1kg2r3/1ppsppspp/p2p2p2/1P7/2RS5/P1NPPPPPP/2G2GK2/L5SNL w BPb 34,5a6b,white,dimolt77,Nujabes_,6f7e,305,6f7e 2c2d 6g6f 2d2e 6f6e 6d6e P*6d 6c5d
sample,35,ln5nl/1kgg1r3/1ppsppspp/p2p2p2/1P7/1R1S5/P1NPPPPPP/2G2GK2/L5SNL w BPb 36,ln5nl/1kgg1r3/1ppsppspp/p2p2p2/1P7/2RS5/P1NPPPPPP/2G2GK2/L5SNL b BPb 35,7f8f,black,dimolt77,Nujabes_,7c7d,-307,2c2d 8e8d 8c8d 6f7e 2d2e 7e6d 4b2b 6d6c+
sample,36,ln5nl/1kgg1r3/1p1sppspp/p1pp2p2/1P7/1R1S5/P1NPPPPPP/2G2GK2/L5SNL b BPb 37,ln5nl/1kgg1r3/1ppsppspp/p2p2p2/1P7/1R1S5/P1NPPPPPP/2G2GK2/L5SNL w BPb 36,7c7d,white,dimolt77,Nujabes_,8e8d,317,9g9f 2c2d 8e8d 8c8d 8f8d P*8c 8d8i 2d2e
sample,37,ln5nl/1kgg1r3/1p1sppspp/pPpp2p2/9/1R1S5/P1NPPPPPP/2G2GK2/L5SNL w BPb 38,ln5nl/1kgg1r3/1p1sppspp/p1pp2p2/1P7/1R1S5/P1NPPPPPP/2G2GK2/L5SNL b BPb 37,8e8d,black,dimolt77,Nujabes_,8c8d,-293,8c8d 8f8d P*8c 8d8i 2c2d 9g9f 2d2e 9f9e
sample,38,ln5nl/1kgg1r3/3sppspp/pppp2p2/9/1R1S5/P1NPPPPPP/2G2GK2/L5SNL b BPbp 39,ln5nl/1kgg1r3/1p1sppspp/pPpp2p2/9/1R1S5/P1NPPPPPP/2G2GK2/L5SNL w BPb 38,8c8d,white,dimolt77,Nujabes_,8f8d,366,8f8d P*8c 8d8i 2c2d 9g9f 2d2e 9f9e 9d9e
sample,39,ln5nl/1kgg1r3/3sppspp/pRpp2p2/9/3S5/P1NPPPPPP/2G2GK2/L5SNL w B2Pbp 40,ln5nl/1kgg1r3/3sppspp/pppp2p2/9/1R1S5/P1NPPPPPP/2G2GK2/L5SNL b BPbp 39,8f8d,black,dimolt77,Nujabes_,P*8c,-317,P*8c 8d8i 2c2d 9g9f 2d2e 9f9e 9d9e P*9c
sample,40,ln5nl/1kgg1r3/1p1sppspp/pRpp2p2/9/3S5/P1NPPPPPP/2G2GK2/L5SNL b B2Pb 41,ln5nl/1kgg1r3/3sppspp/pRpp2p2/9/3S5/P1NPPPPPP/2G2GK2/L5SNL w B2Pbp 40,P*8c,white,dimolt77,Nujabes_,8d8i,317,8d8i 2c2d 9g9f 2d2e 9f9e 9d9e P*9c 9a9c
sample,41,ln5nl/1kgg1r3/1p1sppspp/p1pp2p2/9/3S5/P1NPPPPPP/2G2GK2/LR4SNL w B2Pb 42,ln5nl/1kgg1r3/1p1sppspp/pRpp2p2/9/3S5/P1NPPPPPP/2G2GK2/L5SNL b B2Pb 41,8d8i,black,dimolt77,Nujabes_,2c2d,-333,2c2d 9g9f 2d2e 9f9e 9d9e P*9c 9a9c P*9d
sample,42,ln5nl/1kgg1r3/1p1sppsp1/p1pp2p1p/9/3S5/P1NPPPPPP/2G2GK2/LR4SNL b B2Pb 43,ln5nl/1kgg1r3/1p1sppspp/p1pp2p2/9/3S5/P1NPPPPPP/2G2GK2/LR4SNL w B2Pb 42,1c1d,white,dimolt77,Nujabes_,9g9f,417,9g9f 2c2d 9f9e 9d9e P*9c 9a9c P*9d 9c9d
sample,43,ln5nl/1kgg1r3/1p1sppsp1/p1pp2p1p/9/3S4P/P1NPPPPP1/2G2GK2/LR4SNL w B2Pb 44,ln5nl/1kgg1r3/1p1sppsp1/p1pp2p1p/9/3S5/P1NPPPPPP/2G2GK2/LR4SNL b B2Pb 43,1g1f,black,dimolt77,Nujabes_,2c2d,-277,2c2d 9g9f 2d2e 9f9e 9d9e P*9c 9a9c P*9d
sample,44,ln5nl/1kgg1r3/1p1sp1sp1/p1pp1pp1p/9/3S4P/P1NPPPPP1/2G2GK2/LR4SNL b B2Pb 45,ln5nl/1kgg1r3/1p1sppsp1/p1pp2p1p/9/3S4P/P1NPPPPP1/2G2GK2/LR4SNL w B2Pb 44,4c4d,white,dimolt77,Nujabes_,9g9f,424,9g9f B*3b 7h8g 2c2d 9f9e 9d9e P*9c 9a9c
sample,45,ln5nl/1kgg1r3/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/2G2GK2/LR4SNL w B2Pb 46,ln5nl/1kgg1r3/1p1sp1sp1/p1pp1pp1p/9/3S4P/P1NPPPPP1/2G2GK2/LR4SNL b B2Pb 45,9g9f,black,dimolt77,Nujabes_,B*3b,-377,B*3b 7h8g 2c2d 9f9e 9d9e P*9c 9a9c 8g8f
sample,46,ln5n1/1kgg1r2l/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/2G2GK2/LR4SNL b B2Pb 47,ln5nl/1kgg1r3/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/2G2GK2/LR4SNL w B2Pb 46,1a1b,white,dimolt77,Nujabes_,9f9e,777,9f9e 9d9e P*9c 1d1e 1f1e 4d4e 9i9e 4e4f
sample,47,ln5n1/1kgg1r2l/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL w B2Pb 48,ln5n1/1kgg1r2l/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/2G2GK2/LR4SNL b B2Pb 47,7h6h,black,dimolt77,Nujabes_,B*3b,-507,B*4c 6f5e 4d4e 9f9e 9d9e P*9c 8b9c B*8f
sample,48,ln5n1/1kg2r2l/1pgsp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL b B2Pb 49,ln5n1/1kgg1r2l/1p1sp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL w B2Pb 48,6b7c,white,dimolt77,Nujabes_,9f9e,746,9f9e 9d9e P*9c 7c8d B*5a 4b4a 5a8d+ 8c8d
sample,49,ln5n1/1kg2r2l/1pgsp1sp1/pPpp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL w BPb 50,ln5n1/1kg2r2l/1pgsp1sp1/p1pp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL b B2Pb 49,P*8d,black,dimolt77,Nujabes_,8c8d,-538,8c8d P*8e B*6b 8e8d 7c8d 5g5f 1d1e 1f1e
sample,50,ln5n1/1kg2r2l/2gsp1sp1/pppp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL b BPbp 51,ln5n1/1kg2r2l/1pgsp1sp1/pPpp1pp1p/9/P2S4P/2NPPPPP1/3G1GK2/LR4SNL w BPb 50,8c8d,white,dimolt77,Nujabes_,P*8e,645,P*8e B*6b 8e8d 7c8d 5g5f 8d8c B*7f 5c5d
